times,Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_675,Triplet_Variability_500,Triplet_Variability_440,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,day,hour
2016-02-13 10:43:11,44,44.446655,0.031833999999999994,0.048076999999999995,0.061579999999999996,0.088851,0.143986,0.168697,0.20989000000000002,0.23591700000000002,4.061597,0.0005780000000000001,0.0007740000000000001,0.0005809999999999999,0.001075,0.0013800000000000002,0.002315,0.0034579999999999997,0.0053490000000000005,0.049668000000000004,1.502517,1.340973,1.5179479999999999,1.553858,1.327676,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,76.92662,4.343407,23.9,260.19909,0.09723899999999999,30:11:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160213,10:43:11
2016-04-17 10:45:58,108,108.44858799999999,0.029717,0.031469,0.037683,0.04555,0.066474,0.07187400000000001,0.089924,0.096827,3.617793,8.1e-05,0.00043799999999999997,0.00043200000000000004,0.000925,0.000265,0.000618,0.000731,0.000908,0.051707,0.9961139999999999,1.077712,1.098362,1.042846,1.189886,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,76.806782,4.306078,24.2,257.004801,0.09624500000000001,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160417,10:45:58
2016-04-19 10:46:11,110,110.44873799999999,0.021224,0.024035,0.029894,0.036909,0.054752999999999996,0.057977,0.073349,0.077253,3.565172,0.000676,3.7e-05,0.00043499999999999995,0.00028,0.00016999999999999999,0.00043499999999999995,0.001068,0.001228,0.055413,1.0294,1.043854,1.098219,1.111186,1.152688,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,76.806224,4.305905999999999,25.0,256.483753,0.096445,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160419,10:46:11
2016-04-26 10:30:51,117,117.43808999999999,0.033547,0.045613,0.054939,0.07257000000000001,0.109675,0.12478199999999999,0.152597,0.169429,3.3749860000000003,0.00041799999999999997,0.000522,0.0006360000000000001,0.000503,0.0007030000000000001,0.0012929999999999999,0.001513,0.001807,0.078877,1.231362,1.17572,1.285843,1.2662959999999999,1.211502,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,80.63464300000001,5.93588,24.4,254.66299700000002,0.09714400000000001,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160426,10:30:51
2016-05-19 10:32:58,140,140.43956,0.028232999999999998,0.039928,0.049496,0.068685,0.11161700000000001,0.130092,0.163432,0.184091,3.5223449999999996,0.000745,0.0009199999999999999,0.000454,0.000175,0.000366,0.00064,0.000535,0.0017230000000000001,0.082761,1.449894,1.3571959999999998,1.5146709999999999,1.489536,1.375107,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,81.261909,6.326784,24.5,249.931336,0.099859,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160519,10:32:58
2016-05-21 10:33:27,142,142.439896,0.034302,0.049960000000000004,0.061921000000000004,0.087201,0.14066199999999998,0.164638,0.204786,0.23105599999999998,3.6799449999999996,0.00044800000000000005,0.000993,0.000933,0.00217,0.002091,0.002262,0.002346,0.005252000000000001,0.106019,1.461214,1.336507,1.504448,1.501974,1.340799,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,81.27845699999999,6.337781,23.5,249.978102,0.100246,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160521,10:33:27
2016-05-28 10:35:29,149,149.44130800000002,0.023532,0.031512,0.038745999999999996,0.052177,0.084208,0.096437,0.12313099999999999,0.138397,3.451032,0.000359,0.000559,0.000609,0.00126,0.001257,0.001557,0.001639,0.0033200000000000005,0.089156,1.378519,1.353265,1.4629020000000001,1.423136,1.433114,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,81.281696,6.339937,22.2,250.14179,0.101602,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160528,10:35:29
2016-06-04 10:37:39,156,156.442813,0.021204,0.029335000000000003,0.036864,0.050872,0.083766,0.0962,0.12241400000000001,0.136225,3.4278370000000002,0.000525,0.000533,0.00035099999999999997,0.0009449999999999999,0.000681,0.000364,0.0020350000000000004,0.00027,0.08279500000000001,1.448965,1.351046,1.518546,1.50416,1.3820270000000001,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,81.269533,6.331846,23.2,250.30548,0.10295699999999999,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160604,10:37:39
2016-06-06 10:38:10,158,158.443171,0.026558999999999996,0.035052999999999994,0.04265,0.056909,0.089518,0.103029,0.13029300000000002,0.145299,3.18047,0.000656,0.000533,0.000638,0.001376,0.0009140000000000001,0.001078,0.002892,0.00107,0.07860700000000001,1.327208,1.336437,1.408521,1.358891,1.364639,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,81.28715799999999,6.343577,23.3,250.35224700000003,0.103344,30:11:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160606,10:38:10
2016-09-08 10:47:29,252,252.449641,0.060836,0.101092,0.128669,0.198823,0.342078,0.42085600000000006,0.529203,0.6092270000000001,3.175639,0.0128,0.004147,0.005525,0.005252000000000001,0.004973,0.003191,0.006409999999999999,0.006147,0.103453,1.7409720000000002,1.588857,1.755725,1.760531,1.4573690000000001,lev15,635,Alta_Floresta,-9.871339,-56.104453,277.0,74.84822700000001,3.7766309999999996,21.8,272.115642,0.209646,21:12:2018,9,1.6398,1.0204,0.8712,0.6741,0.4997,0.4385,0.3797,0.3398,0.9375,20160908,10:47:29
