times,Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_675,Triplet_Variability_500,Triplet_Variability_440,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,day,hour
2016-08-16 10:41:53,229,229.445752,,0.170427,0.232001,0.382588,0.657896,0.773083,,,3.004002,,0.002218,0.003047,0.004566,0.007797,0.015138999999999998,,,0.098857,1.78877,1.245134,1.676409,1.887716,,lev15,197,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,81.118303,6.232903,20.0,265.574247,0.155912,22:08:2018,6,,1.02,0.8699,0.6749,0.5011,0.4402,,,0.9362,20160816,10:41:53
2016-09-17 10:23:44,261,261.433148,,0.22098299999999998,0.298577,0.488828,0.8249620000000001,0.9644299999999999,,,2.768602,,0.0014789999999999998,0.00168,0.003814,0.004971,0.013758000000000001,,,0.057724,1.740721,1.205463,1.619251,1.840134,,lev15,197,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,79.627111,5.398757,18.9,274.539952,0.19118800000000002,04:03:2019,6,,1.02,0.8699,0.6749,0.5011,0.4402,,,0.9362,20160917,10:23:44
2016-09-26 10:57:39,270,270.45670099999995,,0.12261099999999998,0.160531,0.24927800000000003,0.41889899999999997,0.509707,0.627309,0.71805,3.185948,,0.001268,0.001284,0.0013449999999999998,0.000987,0.0013,0.00123,0.001347,0.032799,1.707298,1.45865,1.685856,1.73905,1.3268659999999999,lev15,197,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,69.78511999999999,2.874018,20.7,274.781712,0.177051,22:08:2018,8,,1.02,0.8699,0.6749,0.5011,0.4402,0.38,0.3397,0.9362,20160926,10:57:39
2016-10-03 10:14:56,277,277.427037,,0.062426999999999996,0.079141,0.118778,0.20186700000000002,0.24293499999999998,0.303133,0.348304,3.9352370000000003,,0.001504,0.001632,0.001691,0.002302,0.003087,0.005109000000000001,0.00674,0.092329,1.669676,1.4704840000000001,1.6929720000000001,1.700043,1.3959979999999999,lev15,197,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,78.747327,5.002813,23.9,274.968463,0.166131,22:08:2018,8,,1.02,0.8699,0.6749,0.5011,0.4402,0.38,0.3397,0.9362,20161003,10:14:56
2016-11-29 10:36:47,334,334.442211,,0.052872,0.062635,0.08104700000000001,0.12651700000000002,0.145479,0.180335,0.208602,4.6146650000000005,,0.000614,0.00122,0.000766,0.0013570000000000001,0.001757,0.002194,0.0026100000000000003,0.038938,1.274132,1.285267,1.390986,1.2809629999999999,1.3941569999999999,lev15,197,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,69.672129,2.858956,27.8,268.038834,0.124705,22:08:2018,8,,1.02,0.8699,0.6749,0.5011,0.4402,0.38,0.3397,0.9362,20161129,10:36:47
2017-08-03 10:59:10,215,215.457755,,0.10082,0.11870499999999999,0.16221300000000002,0.24042600000000003,0.281283,0.33589600000000003,0.379091,2.61433,,0.006542,0.008055,0.00813,0.007962,0.010251999999999999,0.008045,0.007683,0.10334700000000001,1.273568,1.18895,1.292007,1.290525,1.175604,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,78.953129,5.090168,18.9,262.659244,0.143202,19:10:2018,8,,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20170803,10:59:10
2017-08-12 10:44:17,224,224.447419,,0.06080599999999999,0.071855,0.098775,0.15626900000000002,0.18911,0.24212399999999998,0.285945,2.278075,,0.00479,0.007575,0.009369,0.012387,0.011359999999999999,0.016915,0.019908000000000002,0.178313,1.432627,1.557664,1.5214729999999999,1.422717,1.629302,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,81.17760600000001,6.271339,19.4,264.590479,0.151612,19:10:2018,8,,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20170812,10:44:17
2017-10-06 10:22:33,279,279.432326,,0.150437,0.19737000000000002,0.306525,0.49555600000000005,0.595877,0.716885,0.8204110000000001,3.679354,,0.0032270000000000003,0.0042899999999999995,0.004927,0.0071129999999999995,0.008433,0.00599,0.009734,0.046558999999999996,1.624862,1.312267,1.5630190000000002,1.6806759999999998,1.257949,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,76.451274,4.199055,25.1,275.048981,0.161423,30:11:2018,8,,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20171006,10:22:33
2017-10-15 10:54:52,288,288.454769,,0.12345899999999999,0.163571,0.261074,0.443858,0.54935,0.6879649999999999,0.817959,3.4471519999999995,,0.00033,0.000839,0.000917,0.0020050000000000003,0.001954,0.00215,0.00256,0.038031999999999996,1.780852,1.557784,1.745539,1.8232439999999999,1.564252,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,67.308223,2.578332,22.6,275.290711,0.147288,19:10:2018,8,,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20171015,10:54:52
2017-11-16 10:05:25,320,320.42042799999996,,0.034429,0.043247,0.062562,0.10501700000000001,0.12637400000000001,0.165515,0.20665300000000003,3.2810919999999997,,0.000225,0.000686,0.00143,0.000974,0.0013130000000000001,0.002344,0.0019399999999999999,0.044021,1.5970440000000001,1.61909,1.658481,1.624141,1.929771,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,76.556895,4.230286,27.4,270.822962,0.12947899999999998,30:11:2018,8,,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20171116,10:05:25
