times,Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_675,Triplet_Variability_500,Triplet_Variability_440,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,day,hour
2016-09-16 10:24:32,260,260.433704,,0.233352,0.319925,0.529849,0.8929799999999999,1.0203870000000002,,,2.602189,,0.002427,0.003901,0.006462000000000001,0.010598999999999999,0.047113999999999996,,,0.0969,1.728421,1.029305,1.571711,1.857909,,lev15,197,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,79.630147,5.400231,17.2,274.513175,0.192754,22:08:2018,6,,1.02,0.8699,0.6749,0.5011,0.4402,,,0.9362,20160916,10:24:32
2016-09-29 10:27:45,273,273.43593799999996,,0.113054,0.146549,0.225575,0.378533,0.45986400000000005,0.5674779999999999,0.644753,3.056458,,0.000661,0.001312,0.001745,0.002584,0.0033979999999999995,0.0054399999999999995,0.007585,0.044430000000000004,1.691432,1.4629020000000001,1.6792479999999999,1.720954,1.310322,lev15,197,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,76.39376800000001,4.182246,23.6,274.861533,0.17238399999999998,22:08:2018,8,,1.02,0.8699,0.6749,0.5011,0.4402,0.38,0.3397,0.9362,20160929,10:27:45
2017-08-10 10:45:27,222,222.448229,,0.054238999999999996,0.063962,0.088037,0.13582,0.162484,0.201487,0.233582,1.855646,,0.000889,0.000691,0.000405,0.000977,0.001668,0.00040199999999999996,0.0037090000000000005,0.030235,1.377688,1.402625,1.435973,1.378052,1.4296309999999999,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,81.180121,6.272979,17.9,264.160996,0.14974200000000001,19:10:2018,8,,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20170810,10:45:27
2017-09-06 10:46:34,249,249.44900499999997,,0.114597,0.147392,0.23077399999999998,0.393359,0.49436499999999994,0.6259239999999999,0.7434069999999999,2.0666450000000003,,0.001189,0.000713,0.000926,0.002675,0.003549,0.005519,0.004418,0.004368,1.7769700000000002,1.6510470000000002,1.782095,1.793797,1.604947,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,76.40253299999999,4.1848,19.4,271.89955699999996,0.18369100000000002,30:11:2018,8,,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20170906,10:46:34
2017-09-11 10:23:05,254,254.43269700000002,,0.201916,0.276702,0.46108999999999994,0.797175,,,,2.904646,,0.0013599999999999999,0.002104,0.0038200000000000005,0.0070090000000000005,,,,0.077771,1.931388,,1.8752209999999998,1.931388,,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,80.984842,6.1480690000000005,22.7,273.400439,0.190282,30:11:2018,5,,1.0197,0.8679,0.6722,0.502,,,,0.9354,20170911,10:23:05
2017-10-01 10:07:00,274,274.42152799999997,,0.182733,0.253617,0.423163,0.71578,0.8731129999999999,,,3.3027519999999995,,0.002434,0.0026260000000000003,0.00402,0.004673,0.016087,,,0.10156699999999999,1.814599,1.444788,1.7042650000000001,1.8929029999999998,,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,81.03725899999999,6.181116,25.7,274.914731,0.169273,19:10:2018,6,,1.0197,0.8679,0.6722,0.502,0.4375,,,0.9354,20171001,10:07:00
2017-10-16 10:33:39,289,289.440035,,0.098049,0.12355799999999999,0.18541400000000002,0.307286,0.376894,0.47575,0.570973,3.829139,,0.001736,0.00337,0.003991,0.003924,0.005074,0.00479,0.003543,0.062598,1.64464,1.554254,1.6639970000000002,1.665689,1.6316110000000001,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,72.254459,3.250829,25.3,275.08566099999996,0.14716400000000002,19:10:2018,8,,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20171016,10:33:39
2017-10-21 10:54:03,294,294.45420099999996,,0.214504,0.287591,0.46786700000000003,0.805087,1.000075,1.242789,1.449447,4.461803,,0.002577,0.003317,0.0056240000000000005,0.00912,0.011170999999999999,0.006814,0.012147,0.037288999999999996,1.831214,1.543017,1.7828700000000002,1.8797830000000002,1.460827,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,66.740678,2.519513,28.6,274.414107,0.144252,19:10:2018,8,,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20171021,10:54:03
2017-11-15 10:12:32,319,319.42537000000004,,0.054919,0.06454,0.085621,0.1298,0.15218399999999999,0.194563,,3.532551,,0.001188,0.000987,0.0012289999999999998,0.002491,0.003149,0.002681,,0.067493,1.2759690000000001,1.4408,1.352625,1.2797530000000001,1.708294,lev15,624,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,74.92710100000001,3.795382,29.0,271.069687,0.129753,19:10:2018,7,,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,,0.9354,20171115,10:12:32
2018-08-27 10:36:34,239,239.44206,0.04203,0.062726,0.072373,0.09822,0.155283,0.185049,0.229516,0.26115900000000003,2.615428,0.005383,0.005367,0.003752,0.0031420000000000003,0.00267,0.0037409999999999995,0.005474000000000001,0.009177,0.02332,1.3963649999999999,1.418754,1.483251,1.387509,1.349042,lev15,133,CUIABA-MIRANDA,-15.73091,-56.070859999999996,210.0,80.638162,5.937941,13.9,268.88588,0.170456,05:06:2019,9,1.6366,1.0207,0.8694,0.6755,0.5006,0.4395,0.38,0.34,0.9404,20180827,10:36:34
