times,Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_675,Triplet_Variability_500,Triplet_Variability_440,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,day,hour
2017-02-09 10:05:32,40,40.420509,0.012421,0.019309,0.022257,0.027908,0.044515,0.053157,0.064071,0.064328,2.341041,0.000193,0.000475,0.000733,0.0011220000000000002,0.001222,0.001181,0.001045,0.0019420000000000001,0.031167,1.3138,1.306175,1.5183520000000001,1.2653969999999999,0.770833,lev15,812,Itajuba,-22.41325,-45.452389000000004,856.0,73.231444,3.4301769999999996,22.6,263.11870899999997,0.13958900000000002,22:08:2018,9,1.641,1.0203,0.8698,0.6758,0.5009,0.441,0.3792,0.3406,0.9371,20170209,10:05:32
2017-02-10 10:06:04,41,41.42088,0.016626,0.02737,0.032804,0.04502,0.074865,0.090748,0.11064500000000001,0.117978,2.3883099999999997,0.00062,0.000526,0.000499,0.000825,0.000333,0.0008,0.0007480000000000001,0.0015300000000000001,0.014936000000000001,1.523159,1.40067,1.6522299999999999,1.501469,1.035151,lev15,812,Itajuba,-22.41325,-45.452389000000004,856.0,73.22189499999999,3.428324,22.2,263.024535,0.139651,22:08:2018,9,1.641,1.0203,0.8698,0.6758,0.5009,0.441,0.3792,0.3406,0.9371,20170210,10:06:04
2017-04-05 10:00:44,95,95.417176,0.025695,0.04002,0.046189,0.062354,0.100734,0.122728,0.154088,0.175178,2.179816,0.000234,0.000562,0.001062,0.00121,0.0013390000000000001,0.0013210000000000001,0.001627,0.0008880000000000001,0.030847000000000003,1.456251,1.5264389999999999,1.589091,1.4187530000000002,1.385838,lev15,812,Itajuba,-22.41325,-45.452389000000004,856.0,79.431172,5.305281,16.7,256.460269,0.136782,22:08:2018,9,1.641,1.0203,0.8698,0.6758,0.5009,0.441,0.3792,0.3406,0.9371,20170405,10:00:44
2017-04-15 10:00:53,105,105.41728,0.022596,0.048017000000000004,0.06201,0.092073,0.144898,0.16755499999999998,0.19793,0.20963299999999999,2.260374,0.0021969999999999997,0.0043100000000000005,0.006653,0.010782,0.01753,0.01684,0.027342,0.028867,0.126533,1.4790860000000001,1.119976,1.422606,1.537215,0.8826639999999999,lev15,812,Itajuba,-22.41325,-45.452389000000004,856.0,80.325969,5.760454,18.6,255.32968300000002,0.133879,22:08:2018,9,1.641,1.0203,0.8698,0.6758,0.5009,0.441,0.3792,0.3406,0.9371,20170415,10:00:53
2018-06-21 10:25:27,172,172.43434,0.006633,0.015782,0.019349,0.027645,0.046123000000000004,0.055658000000000006,0.068966,0.074003,1.37134,0.000489,0.001029,0.00054,0.000285,0.00028700000000000004,0.000579,0.00074,0.001521,0.021494,1.577385,1.444577,1.651893,1.578249,1.123368,lev15,812,Itajuba,-22.41325,-45.452389000000004,856.0,81.564636,6.534039,10.6,257.679667,0.127646,22:08:2018,9,1.641,1.0203,0.8698,0.6758,0.5009,0.441,0.3792,0.3406,0.9371,20180621,10:25:27
2018-06-27 10:26:27,178,178.435035,0.020079,0.033832,0.039414,0.054251,0.088124,0.106897,0.133209,0.14949400000000002,1.5410549999999998,0.000113,0.000309,0.000633,0.00049,0.0012699999999999999,0.000607,0.000992,0.002983,0.012643000000000001,1.486765,1.4835909999999999,1.594459,1.4630100000000001,1.308656,lev15,812,Itajuba,-22.41325,-45.452389000000004,856.0,81.56116899999999,6.5315900000000005,10.1,259.78884,0.131047,22:08:2018,9,1.641,1.0203,0.8698,0.6758,0.5009,0.441,0.3792,0.3406,0.9371,20180627,10:26:27
2018-08-30 10:16:21,242,242.428021,0.013384,0.026488,0.03248,0.04519,0.073303,0.088035,0.10906600000000001,0.11756099999999998,1.673604,0.0019010000000000001,0.0028710000000000003,0.004541,0.00541,0.007634999999999999,0.00905,0.008748,0.008743,0.006058,1.4875690000000001,1.427289,1.571757,1.479293,1.139061,lev15,812,Itajuba,-22.41325,-45.452389000000004,856.0,76.632058,4.252798,13.6,277.57158799999996,0.153972,03:09:2018,9,1.641,1.0203,0.8698,0.6758,0.5009,0.441,0.3792,0.3406,0.9371,20180830,10:16:21
2018-09-08 10:01:26,251,251.417662,0.017778,0.032770999999999995,0.040054,0.056226,0.09195,0.113099,0.142787,0.15799100000000002,0.8524360000000001,0.000342,0.000323,0.00047599999999999997,0.0007059999999999999,0.0017739999999999998,0.0016,0.0017809999999999998,0.000817,0.009729999999999999,1.540008,1.580036,1.638215,1.510067,1.310223,lev15,812,Itajuba,-22.41325,-45.452389000000004,856.0,77.916046,4.678457,11.9,280.156474,0.157452,12:09:2018,9,1.641,1.0203,0.8698,0.6758,0.5009,0.441,0.3792,0.3406,0.9371,20180908,10:01:26
2018-09-09 10:00:26,252,252.41696800000003,0.025715,0.043276999999999996,0.051447,0.07129400000000001,0.113543,0.13831300000000002,0.172172,0.19276500000000002,1.1005340000000001,0.000381,3.4e-05,0.0004980000000000001,0.001018,0.000967,0.001295,0.001843,0.002875,0.017317,1.465808,1.494294,1.552775,1.4381709999999999,1.29574,lev15,812,Itajuba,-22.41325,-45.452389000000004,856.0,77.909328,4.676007,11.2,280.443815,0.157839,13:09:2018,9,1.641,1.0203,0.8698,0.6758,0.5009,0.441,0.3792,0.3406,0.9371,20180909,10:00:26
2018-09-24 10:06:59,267,267.421516,0.015675,0.030167000000000003,0.037273,0.05366,0.08870900000000001,0.10788800000000001,0.13486099999999998,0.14549600000000001,1.499264,0.00038199999999999996,0.000802,0.000213,0.000536,0.001315,0.0018789999999999998,0.001492,0.001094,0.010661,1.580026,1.504092,1.6437669999999998,1.574555,1.178501,lev15,812,Itajuba,-22.41325,-45.452389000000004,856.0,72.883414,3.36398,19.2,282.656718,0.159058,29:09:2018,9,1.641,1.0203,0.8698,0.6758,0.5009,0.441,0.3792,0.3406,0.9371,20180924,10:06:59
